,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
815,ark:/13030/kt5p3020w9/,English,"University of California, Davis Library, Dept. of Special Collections",Colby E. &#34;Babe&#34; Slater Collection,"Messenger, Marguerite Slater",D-394,1 linear foot,1906-2017,1917-1957,"Colby E. &#34;Babe&#34; Slater (1896-1965) graduated from the University Farm School (now the University of California, Davis) in 1917. He served with the United States Army Medical Corps in France during the First World War. An outstanding athlete, Slater won Olympic gold medals for rugby in 1920 and 1924. Around 1927, he bought land in Clarksburg, California where he farmed for many years. Slater was active in organizations associated with athletics; agriculture; the University of California, Davis; and Yolo County, California. The Colby E. &#34;Babe&#34; Slater Collection (1906-2001, bulk 1917-1957) contains correspondence, diaries, publications, ephemera, photographic material, and realia. Most of the collection pertains to Slater and the United States Olympic Rugby Team winning gold medals at the Olympic Games in Antwerp, Belgium (1920) and Paris (1924). The collection also includes material related to the history of the University of California, Davis; the First World War; agriculture; and the history of Yolo County, California.","Researchers should contact Archives and Special Collections to request collections, as many are stored off site.",,,,,,,,"Messenger, Marguerite Slater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,ark:/13030/kt5p30326c/,English,"University of California, Davis Library, Dept. of Special Collections",Robert N. Campbell Slides,"Campbell, Robert Noé",MC022,1 slide,1956-1993,,"Robert N. Campbell served as Professor of Plant Pathology at the University of California, Davis from 1959-1993. This collection contains ninety-three 35mm slides, most of which were taken by Campbell, during his academic career. Subjects include: campus scenes, people, agricultural machinery and practices, and the Central Valley.","Researchers should contact Archives and Special Collectionss to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,ark:/13030/kt5q2nc5wk/,,,"Bern C. Ramey Papers,","Ramey, Bern C., 1919-",D-389,null,1858-1998,,"Bern C. Ramey had a long career in many aspects of the wine field including those of winemaker, merchandising specialist, author, lecturer, educator, and sales executive. A graduate of the UC Davis Department of Viticulture and Enology, Ramey worked for &#34;21&#34; Brands and Paul Masson Vineyards. He also composed the music and authored the lyrics to the Cal Aggie Fight Song. His papers contain biographical materials, writings, photographs, audiovisual materials, memorabilia, and subject files relating to the Lonz Winery, the 3 Islands Madeira wine, and his champagne winery venture.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,13 linear feet,,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,ark:/13030/kt5s2018kq/,,,"Inventory of the Howard Lester McKenzie Collection,","McKenzie, Howard Lester, 1910-",D-309,null,1890-1966,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.20 linear feet,,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,ark:/13030/kt5s2027b2/,Collection materials in English.,,Karl Bissinger Papers,"Bissinger, Karl",D-189,1 print,,,"Karl Bissinger (1914- ), photojournalist and activist, was a friend of Julian Beck and Judith Malina, co-founders of The Living Theatre. Bissinger served as an occassional photographer of the Theatre and its performances. His Papers contain correspondence, ephemera, photographs, posters, and programs pertaining to Living Theatre productions.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2.4 linear feet,1950-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,ark:/13030/kt5w1036c6/,Collection materials in English.,,Joseph Tomes Papers,"Tomes, Joseph, 1912-1998",D-066,1 folder,1928-1990,,"Joseph Tomes was a founding member of the Fresno Community Theater in Fresno, California. The collection contains correspondence, photographs, programs, and memorabilia, many of which are related to Fresno Community Theater productions. Also included are short letters from theatrical personalities including Helen Hayes, Lynn Fontanne, Laurence Olivier, John Barrymore, and James Mason.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.9 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,ark:/13030/kt5z09q2p1/,,,"Stanley Barron Freeborn Papers,","Freeborn, Stanley Barron, 1891-",D-102,null,1925-1958,,"Dr. Stanley Barron Freeborn was named the first Provost of the University of California, Davis in 1952. He then served as Chancellor from 1958-1959. During his career he held several positions in the University of California system. From 1924-1935 he was chairman of the Division of Entomology at Davis. His research centered on mosquitoes and malaria and he was recognized as an authority on malariology. His papers contain biographical and research materials, correspondence, and memorabilia.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 linear foot,,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,ark:/13030/kt600021sh/,Collection materials in English,,Fisher Family Correspondence,Fisher family,D-427,null,1870-1890,,"The Fisher Family Correspondence contains sixty letters of a Woodland, California family. The majority of the collection, which spans the years 1870-1890, consists of incoming correspondence to Edna Fisher (1870-1962). Primary correspondents are Ernest Blake, a cousin, and Adella Fisher (1867-1952), Edna&#39;s sister. From 1888 to 1889, Adella served as a primary school teacher in Winters, California, during which time she wrote many letters to her sister. The correspondence details family matters and the daily activities of the correspondents. Descriptions of life in Yolo County, California are also included.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,ark:/13030/kt609nc6q6/,,,"A. Dinsmoor Webb Papers,","Webb, A. Dinsmoor (Albert Dinsmoor), 1917-",D-388,null,1929-2002,,"The A. Dinsmoor Webb Papers document primarily the professional life and work of Webb, a professor in the Chemistry and Viticulture and Enology Departments from 1948-1981. His research centered on the isolation and identification of trace aroma and pigment materials in grapes and wines. The collection, which is two linear feet, spans the years 1929-2002. It contains correspondence, manuscripts of talks, research notes, reprints of articles, and wine labels. There are also materials that relate to Webb&#39;s work as a consultant to the wine industry.","For current information on the location of these materials, please consult the Special Collections Department.",,,2 linear feet,,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,ark:/13030/kt609nf5xq/,English,"University of California, Davis Library, Dept. of Special Collections",Mudd and Mapes Families Papers,Mudd Family,MC194,12 photographic prints,circa 1875-1989,,"George Mudd (1845-1898) was an early farmer in the Germantown, California (now Artois, California) area. This small collection contains correspondence by George and James Mudd, notes and clippings on the history of the Mudd and Mapes families, and family photographs including one of the Caterpillar School in Stockton, California and several of the steam combine invented by George Stockton Berry and owned by George Mudd.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,ark:/13030/kt6779r6p4/,Collection materials in English.,,Edmund Breese Sides Collection,"Breese, Edmund",MC095,,1901-1902,,Edmund Breese (1871-1936) performed in numerous plays in the United States and London and later starred in Hollywood films. The collection contains twenty-four handwritten sides of roles performed by Breese during 1901-1902. Sides are defined as pages containing an actor&#39;s part and cue words.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,ark:/13030/kt6779r74b/,Collection materials in English.,,"Philip Whalen Correspondence,",,D-492,,1978-1987,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,"Whalen, Philip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,ark:/13030/kt68703482/,Collection materials in English.,,"Paul K. Stumpf Slides of the University of California, Davis and Davis, California","Stumpf, Paul K. (Paul Karl), 1919-",MC107,3 audiocassettes,circa 1960-1990,,"Paul K. Stumpf (1919-2007) served as Professor of Biochemistry at the University of California, Davis from 1959-1984. While serving as a member of the Campus Building Committee during the 1960s, he photographed construction of various buildings on campus. These slides are part of a slide show that Stumpf assembled to illustrate the &#34;then and now&#34; images of the University of California, Davis campus. Several images of the city of Davis are present. Scripts and audiocassettes of the slide show are included.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,ark:/13030/kt6c6027qf/,Collection materials in English.,,James Russell Douglas Correspondence,"Douglas, J. R.(James Russell), 1912-",D-294,3 indices,1946-1948,,"James Russell Douglas (1912-1980) served as Professor of Parasitology at the University of California, Davis from 1946-1973. His correspondence which spans from 1946-1948 contains letters relating to the use of chemical insecticides such as DDT and the effects of the chemicals on cattle and domestic animals.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,ark:/13030/kt6c6035jb/,Collection materials in English.,,Elmer W. Learn Reports and Speeches,"Learn, Elmer W. (Elmer Warner), 1929-",MC126,,1966-1984,,"Elmer W. Learn (1929- ) served as Executive Vice-Chancellor at the University of California, Davis from 1969-1984. The collection contains copies of sixteen of Learn&#39;s speeches and reports discussing university management needs and techniques.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,ark:/13030/kt6d5nc751/,,,"David K. Gillespie Papers,","Gillespie, David K., 1821-",D-297,null,1879-1903,,"The David K. Gillespie Papers contain correspondence and other materials relating to his wholesale grain business in Kirkwood, Ohio in the later nineteenth and early twentieth centuries. The Papers include incoming correspondence from business associates and fragmentary personal correspondence from relatives and the Ohio Prohibition Party. Some letters contain receipts, business cards, and market reports. Also includes two brief account ledgers for 1882 and 1888. Subjects discussed relate to grain prices, weather, condition of grain, methods of shipment, and availability of grains.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2.2 linear feet,,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,ark:/13030/kt6f59r8wh/,Collection materials in English.,,"Squaring the Circle Collection,",,D-143,6 prints,1935-1961,,"Squaring the Circle, a play written by Russian dramatist Valentin Katayev, was first produced at the Moscow Art Theatre in 1928. The United States production, translated by Charles Malamuth and Eugene Lyons, premiered at the Pasadena Community Playhouse in August 1935 and was later performed at the Broad Street Theatre in Philadelphia and at the Lyceum and Adelphi Theatres in New York City. The collection contains correspondence, photographs, and ephemera relating to the play&#39;s 1935 U.S. production. Also included are several images of the cast that performed at the Moscow Art Theatre.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,"University of California, Davis. Dept. of Special Collections.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,ark:/13030/kt6h4nf35n/,Collection materials in English,,California State Beekeepers Association Records,California State Beekeepers Association,D-075,Leather briefcase,,,"The California State Beekeepers Association was organized in 1889 to serve the beekeeping industry in California. The collection contains meeting minutes, correspondence, financial records, annual convention programs, publications, realia and photographs.",,,,2.8 linear feet,1886-1980,,,,,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,ark:/13030/kt6j49r9bc/,Collection materials in English.,,Mrs. Patrick Campbell Collection,,D-525,,circa 1906-1927,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,"Campbell, Patrick, Mrs., 1865-1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,ark:/13030/kt6k4022tw/,Collection materials in English,,"Peter J. Shields Collection,","Shields, Peter J., 1862-1962",D-169,3 items,,,"The Peter J. Shields Collection contains both personal papers and materials related to the creation of the University of California, Davis campus. The collection materials date from 1896 to 1968. Peter J. Shields presided as a Superior Court Judge in Sacramento County from 1900 to 1949. In 1905, Shields wrote the legislation that led to the establishment of the University Farm. He maintained his association with the campus until his death in 1962.","Researchers should contact Special Collections to request collections, as many are stored off site.",,,4.2 linear feet,1896-1968.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,ark:/13030/kt6k40362w/,Collection materials in English.,,"Lawrence Bacon Lee Correspondence,","Lee, Lawrence Bacon, 1917-",D-457,2 letters,1962-1996,,Lawrence Bacon Lee (1917-2003) served as Professor of History at San Jose State University from 1957-1983. The collection contains his correspondence primarily with fellow historians Paul W. Gates and Donald J. Pisani. Topics discussed include their research and writings on the history of the American West including environmental and water history and public land policy.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,ark:/13030/kt6m3nf56s/,Collection materials in English.,,Joseph Joel Keith Papers,"Keith, Joseph Joel",D-156,7 folders,1941-1967,,"Joseph Joel Keith was an American poet of the mid-twentieth century. His Papers contain his notebooks, poems, prose, and lyrics, as well as several photographs.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,ark:/13030/kt6p3021mz/,,,"Bret Harte Collection,","University of California, Davis. Library. Dept. of Special Collections",D-282,null,[1857?]-1950,,"At the height of his career, Bret Harte (1836-1902) was considered one of the best-known American writers of the nineteenth century. The collection contains Harte&#39;s writings published in magazines and newspapers, clippings and ephemera about Harte, and portraits of Harte and other individuals. This artificially created collection was a block purchase from John Howell Books of San Francisco in the early 1980&#39;s.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.40 linear feet,,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,ark:/13030/kt6q2nf6ch/,Collection materials in English.,,Writings,"Rothchild, Donald S.",D-537,,1974-1993,,"Donald S. Rothchild (1928-2007) served as Professor of Political Science at the University of California, Davis. The collection contains selected manuscripts of Rothchild&#39;s conference papers and writings which focus on politics and government in Africa.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,ark:/13030/kt6s20354r/,Collection materials in English.,,Katherine McNeil Papers,"McNeil, Katherine",D-485,14 folders,1971-1983,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,ark:/13030/kt6t1nd9f6/,Collection materials in English.,,Leonard V. Finder Papers,"Finder, Leonard V., 1910-1969",D-358,0.8 linear feet,,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,ark:/13030/kt6v19q65v/,Collection materials in English.,,C. M. Silva &amp; Son Correspondence,C. M. Silva &amp; Son,D-417,1 volume,1874-1886,,"Charles M. Silva (1823-1894) and his son Edward B. Silva (1854-1952) operated C.M. Silva &amp; Son, a nursery specializing in fruit trees and plants, in Newcastle, California. This collection contains 135 letters written to C. M. Silva &amp; Son from 1874-1879. Also included is one volume of outgoing correspondence from July to December 1886. The correspondence discusses growing fruit trees and plants, orders for their fruit and plant stock, shipping procedures, the quality of their products, and account debits and credits.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,ark:/13030/kt6v19r84r/,Collection materials in English,,Wolfskill Family Collection,"Wolfskill, Edward, 1850-1939",D-023,1.8 linear feet,,,"The Wolfskill Family Collection contains genealogical and biographical information about a pioneer family of Solano and Yolo Counties, California. John Reid Wolfskill (1804-1897) settled on the Rancho Rio de los Putos Grant near present-day Winters, Calif., in 1842. The Wolfskill Family collection includes correspondence, ephemera, realia, and photographs related to John Reid Wolfskill and his family as well as reference materials related to the history of California.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,26 linear feet,1820-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,ark:/13030/kt7199s00b/,Collection materials in English.,,Sir John Martin-Harvey Papers,"Martin-Harvey, John, Sir, 1863-1944",D-184,2 images,1900-1945,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,ark:/13030/kt738nc7g1/,,,"Forrest A. Plant, Sr. Papers,","Plant, Forrest A., 1889-1933",D-113,2 lantern slides,"1907-1932,",(bulk 1916-1923),"Forrest A. Plant, Sr. (1889-1933) was a member of a pioneering Davisville (later Davis), California family. Plant was admitted to the California Bar in 1913 and then established a private law practice in Davisville. He played a major role in community development by preparing the Articles of Incorporation for the City of Davis in 1917. As City Clerk and City Attorney, Plant drew up the first ordinances implementing the new local government, and he continued to serve Davis in these two capacities until 1932 when he was elected Superior Court Judge of Yolo County. The Forrest A. Plant, Sr. Papers span the years 1907 to 1932, but the bulk dates from 1916 to 1923. The papers mainly relate to Plant&#39;s Davis legal practice and his work settling the estates of eight citizens of Solano, Yolo, and Sacramento counties in the Superior Courts of those California counties. The majority of the papers are correspondence and legal and financial documents.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.40 linear feet in 1 document case,,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,ark:/13030/kt7c6037pp/,Collection materials in English.,,John F. Clewe Correspondence,"Clewe, John F., 1879-1961",D-495,6 letters,1925-1958,,"The John F. Clewe Correspondence contains outgoing, incoming, and third party letters which span the years 1925-1958. The majority of the letters are between Clewe and his sister Marie and Clewe and Marie&#39;s husband Trevenen J. Taylor, a technician in the Division of Veterinary Medicine at the University of California, Davis. Correspondence with Trevenen Taylor discusses marketing a 16mm Kodachrome film created by Taylor which was able to record the emergence of the Monarch butterfly, detailing the butterfly&#39;s development from caterpillar to the adult stage. Correspondence with Marie Taylor discusses Clewe family matters.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,ark:/13030/kt7c6042f3/,English,"University of California, Davis General Library, Dept. of Special Collections",Beekeeping Supply Catalog Collection,"University of California, Davis. Library. Dept. of Special Collections.",O-002,6.0 Linear feet,1869-1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,ark:/13030/kt7f59r97g/,Collection materials in English.,,John S. Harbison Papers,"Harbison, J. S. (John S.)",D-080,1 print,1857-1920,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.3 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,ark:/13030/kt7g50214q/,,,"Sanford and Barbara Freeman Collection of Henrique Vivian Messetti Materials,","Messetti, Vivian",D-277,null,1943-1946,,"These materials, which document the life of Henrique Vivian Messetti, a writer, performer, and member of a vaudeville-circus family active during the 1920&#39;s-1940&#39;s, were collected by Sanford and Barbara Freeman. Messetti began appearing on the stage at the age of four. Most of his work was in vaudeville/circus productions although he also claimed to have performed in a few motion picture serials. In later years he dropped his first name while continuing as a female impersonator. He was with, among others, the touring Messett&#39;s Great Road Show, Little Eva&#39;s Temptation Company, and F.A. Cunningham&#39;s Kick High Musical Circus. The majority of the collection contains Messetti&#39;s incoming correspondence.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,"Freeman, Barbara",,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,ark:/13030/kt7g5037qv/,Collection materials in English.,,H.P. Davis Papers on Haiti,"Davis, H. P. (Harold Palmer), b. 1878.",MC006,3 prints,1921-1957,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,ark:/13030/kt7h4nf5x9/,Collection materials in English.,,Rochelle Owens Papers,"Owens, Rochelle",D-062,,1950-1984,,"Rochelle Owens (1936- ) is an American playwright and poet. The collection contains books, clippings, correspondence, promotional material, and programs relating to some of her works.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,ark:/13030/kt7q2nc9t3/,,,Harry O. Walker Slide Collection,"Walker, Harry O.",D-398,null,,,"Harry O. Walker was a faculty member in the College of Agricultural and Environmental Sciences at the University of California, Davis from 1955-1990. The collection contains approximately 3,000 slides that he photographed and used in his Resource Sciences course, California: the State. The slides, many of which are aerial views, illustrate the geography and natural resources of California from 1958-1989.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,4.8 linear feet.,1958-1989,,,,,,English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,ark:/13030/kt7r29s0b3/,Collection materials in English.,,"Collection of United States Bureau of Alcohol, Tobacco, and Firearms Records On California Wineries","United States. Bureau of Alcohol, Tobacco, and Firearms",D-140,1 folder,1920-1950,,"The collection contains applications to the Bureau of Alcohol, Tobacco, and Firearms for the establishment of wineries in California, statements of ownership, corporation papers, materials on bonds and consents, winery plans, capacity, facilities, and vineyard acreage. Correspondence regarding audits, permits, and inspections is also included. The records cover the time period from 1920-1950 and therefore include Prohibition and the repeal of Prohibition.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,132 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,ark:/13030/kt7z09r3rm/,Collection materials in English.,,Edward J. Wickson Papers,"Wickson, Edward J. (Edward James), 1848-1923",D-037,1 folder,,(1900-1920 bulk),"The Edward J. Wickson Papers pertain to agriculture in California, which Wickson studied and taught during his 34 years as a professor and later Dean of the College of Agriculture at the University of California. The papers include many works by and about experimental horticulturalist Luther Burbank such as articles, correspondence, and duplicates of Burbank&#39;s scrapbooks.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2 linear feet,1874-1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,ark:/13030/kt800033r1/,Collection materials in English.,,Albee Directs Albee Collection,Albee Directs Albee,D-131,1 print,1976-1979,,"The Albee Directs Albee project was a forty week international tour of universities and arts centers throughout the United States, South Korea, and Japan, during which Edward Albee, Pulitzer Prize winning American dramatist, directed the troupe in presenting eight of his one-act plays. The collection contains scripts, promotional materials, photographs, and reel-to-reel recordings relating to the production.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,ark:/13030/kt800033vk/,Collection materials in English.,,"Don Carpenter Correspondence,",,MC007,1 postcard,1963-1973,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,"Carpenter, Don",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,ark:/13030/kt8000374n/,Collection materials in English,,Paul Masson Records,Paul Masson (Firm),D-357,Two scrapbooks,,1872-1929,"Correspondence, ledger books, scrapbooks, and photographs from Masson&#39;s Santa Clara County, California, vineyards. Collection also includes notes on Masson by UC Davis Professor of Viticulture and Enology Harold P. Olmo.",,,,2.8 linear feet,1872-2000,,,,,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,ark:/13030/kt829023mm/,Collection materials in English.,,Jefferson Wilcoxson Papers,"Wilcoxson, Jefferson (1809-1898)",D-416,null,1869-1897,,"Jefferson Wilcoxson (1809-1898) was a California pioneer who became involved in merchandising, farming, banking, and land investments in Northern California. The majority of the collection consists of incoming correspondence to Wilcoxson from 1869-1897. Correspondents include George W. Applegate, George W. Austin, the Bank of Woodland, and the Yolo County Treasurer. These letters often discuss farming, life in Applegate, California, financial dealings, and other subjects.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,ark:/13030/kt829040z7/,Collection materials in English.,,Noel Peattie Papers,"Peattie, Noel",D-380,1 broadside,1972-2002,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,ark:/13030/kt838nf0t1/,Collection materials in English.,,Gary Snyder Letters to Cid Corman,"Snyder, Gary, 1930-",MC152,Empty envelope and fragment of letter,1957-1961,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,ark:/13030/kt8489s1kk/,Collection materials in English.,,Public Health History of California Collection,California. Dept. of Public Health,D-545,2 folders,1960-2012,,The collection contains dvds and transcripts of oral history interviews of 19 persons important in the history of the California Department of Public Health. Interviews were conducted between 1986 and 2009.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,ark:/13030/kt8580383c/,Collection materials in English.,,John Edward Eckert Papers,"Eckert, John Edward, 1895-",D-079,1 negative,1917-1966,,"John Edward Eckert (1895-1975) served as Professor of Entomology at the University of California, Davis from 1931-1962. The majority of his Papers contain his correspondence on subjects such as ants, bee diseases, honey marketing, and queen bees, among other topics. Also included are Eckert&#39;s writings, research materials, and some photographs on apiculture subjects.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,12.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
