,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia
616,ark:/13030/c8r2134f/,English,,Chinese Fan and Embroidery Collection,,D-040,,,,"Two Chinese fans hand painted by Tung Kao, with poems in calligraphy by Juan Yuan and Chi Huang.",,circa 1760,null,1 linear foot,,,,,,,,,,,,,,,10485.0,2017-03-22T19:56:09,2017-03-22T12:56:09,2017-03-22T19:56:09,chinese-fan-and-embroidery-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/chinese-fan-and-embroidery-collection/,0.0,,[2625],https://www.library.ucdavis.edu/manuscript/chinese-fan-and-embroidery-collection/,Chinese Fan and Embroidery Collection.,,"Two Chinese fans hand painted by Tung Kao, with poems in calligraphy by Juan Yuan and Chi Huang.",D-040,176-.,1,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8r2134f/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10485'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10485'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10485'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
617,ark:/13030/c8r2178w/,English,,John H Turner Collection,,MC171,,,,Photographs of Middle Fork American River mining operations.,,1983,null,0.1 linear feet,,,,,,,,,,,,,,,11100.0,2017-03-22T19:56:31,2017-03-22T12:56:31,2017-03-22T19:56:31,turner-john-h-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/turner-john-h-collection/,0.0,,[2629],https://www.library.ucdavis.edu/manuscript/turner-john-h-collection/,"Turner, John H. Collection.",,Photographs of Middle Fork American River mining operations.,MC171,1983,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11100'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11100'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11100'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
618,ark:/13030/c8r49rhz/,Collection materials in English.,,Howard O. Spencer Correspondence,"Spencer, Howard O.",MC254,5 letters,1874-1886,,"Howard O. Spencer (1838-1918) served as a Mormon missionary in England and was an early settler of the town of Orderville, Utah. The collection contains eighteen letters, the majority of which are written by Spencer to his family while he was serving as a missionary in England. Also included is one letter written to Spencer by Brigham Young Jr. while Young was in England. The letters discuss Spencer&#39;s life in England, family news, and religion.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,11035.0,2017-03-22T19:56:28,2017-03-22T12:56:28,2017-03-22T19:56:28,spencer-howard-o-correspondence,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/spencer-howard-o-correspondence/,0.0,,[],https://www.library.ucdavis.edu/manuscript/spencer-howard-o-correspondence/,"Spencer, Howard O. Correspondence","Howard O. Spencer (1838-1918) served as a Mormon missionary in England and was an early settler of the town of Orderville, Utah.","Eighteen letters, the majority of which are written by Spencer to his family while he was serving as a missionary in England. Also included is one letter written to Spencer by Brigham Young Jr. while Young was in England. The letters discuss Spencer's life in England, family news, and religion. ",MC254,1874-1886.,,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8r49rhz/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11035'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11035'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11035'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
620,ark:/13030/c8r49t2z/,English,"University of California, Davis Library, Dept. of Special Collections",John Lofland Papers on the Unification Church,"Lofland, John",D-361,7 linear feet,circa 1960-1995,,Research materials on demonstrations in or near the California State Capitol building in 1977 collected by Professor of Sociology John Lofland.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10782.0,2017-03-22T19:56:20,2017-03-22T12:56:20,2017-03-22T19:56:20,lofland-john-papers-on-the-unification-church,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/lofland-john-papers-on-the-unification-church/,0.0,,[1623],https://www.library.ucdavis.edu/manuscript/lofland-john-papers-on-the-unification-church/,"Lofland, John. Papers on the Unification Church.","Professor of Sociology, University of California, Davis.","Research materials pertaining to the activities of the Unification Church in the United States during the 1960's and 1970's. Dr. Lofland's research in the cult provides a perspective on religious proselytization and conversion. The papers contain original notes, tapes, transcripts, publication drafts, and other materials.",D-361,1960-1995.,7,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8r49t2z/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10782'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10782'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10782'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
621,ark:/13030/c8r78hbg/,English,,David Kupfer Collection,,D-247,,,,&#34;Whole Earth Festival&#34; T-shirts from 1970s to 1990s.,,1970-1990,"Kupfer, David.",1 linear foot.,,,,,,,,,,,,,,,10749.0,2017-03-22T19:56:18,2017-03-22T12:56:18,2017-03-22T19:56:18,kupfer-david-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/kupfer-david-collection/,0.0,,[2630],https://www.library.ucdavis.edu/manuscript/kupfer-david-collection/,"Kupfer, David. Collection.",,"""Whole Earth Festival"" T-shirts from 1970s to 1990s.",D-247,197--199-.,1,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8r78hbg/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10749'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10749'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10749'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
622,ark:/13030/c8r78hg8/,English,,Henry Jacobsen Papers,,D-021,,,,Lantern slides and scrapbooks depicting agricultural practices in the Philippines.,,1912-1916,"Jacobsen, Henry",1 linear foot,,,,,,,,,,,,,,,10719.0,2017-03-22T19:56:17,2017-03-22T12:56:17,2017-03-22T19:56:17,jacobsen-henry-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/jacobsen-henry-papers/,0.0,,[1439],https://www.library.ucdavis.edu/manuscript/jacobsen-henry-papers/,"Jacobsen, Henry. Papers.",United States Department of Agriculture Inspector in the Philippines (1912-1916).,Lantern slides and scrapbooks depicting agricultural practices in the Philippines.,D-021,1912-1916.,1,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8r78hg8/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10719'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10719'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10719'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
623,ark:/13030/c8r78n30/,English,,Janet Rudisill Collection,,MC168,,,,"Photograph of Fred H. Abbot, dairy industry associate connected with the University of California, Davis.",,undated,null,0.1 linear feet,,,,,,,,,,,,,,,10977.0,2017-03-22T19:56:26,2017-03-22T12:56:26,2017-03-22T19:56:26,rudisill-janet-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/rudisill-janet-collection/,0.0,,[1441],https://www.library.ucdavis.edu/manuscript/rudisill-janet-collection/,"Rudisill, Janet. Collection.",,"Photograph of Fred H. Abbot, dairy industry associate connected with the University of California, Davis.",MC168,19--.,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10977'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10977'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10977'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
624,ark:/13030/c8rb7bgv/,English,,Allan Jones Papers,,MC108,,,,Several original prints of agricultural machinery.,,1980,null,0.1 linear feet,,,,,,,,,,,,,,,10725.0,2017-03-22T19:56:18,2017-03-22T12:56:18,2017-03-22T19:56:18,jones-allan-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/jones-allan-papers/,0.0,,[2625],https://www.library.ucdavis.edu/manuscript/jones-allan-papers/,"Jones, Allan. Papers.",,Several original prints of agricultural machinery.,MC108,1980,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10725'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10725'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10725'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
627,ark:/13030/c8rf5wrb/,English,,C. Bickford O&#39;Brien Papers on Russian History,,D-001,,,,"Microfilm, photocopies, translations, and drafts of articles relating to Russian foreign relations, trade, and economics, particularly in the 17th century.",,1600-1979,"O&#39;Brien, C. Bickford (Clarence Bickford), 1909-1979.",11 linear feet,,,,,,,,,,,,,,,10880.0,2017-03-22T19:56:23,2017-03-22T12:56:23,2017-03-22T19:56:23,obrien-c-bickford-1909-1979-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/obrien-c-bickford-1909-1979-papers/,0.0,,[1623],https://www.library.ucdavis.edu/manuscript/obrien-c-bickford-1909-1979-papers/,"O&#8217;Brien, C. Bickford (1909-1979). Papers.","Professor of Russian History, University of California, Davis (1947-1974).","Microfilm, photocopies, translations, and drafts of articles relating to Russian foreign relations, trade, and economics, particularly in the 17th century.",D-001,1600-1979.,11,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8rf5wrb/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10880'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10880'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10880'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
628,ark:/13030/c8rf61st/,English,"University of California, Davis Library, Dept. of Special Collections",William T. Wiley Collection,"Wiley, William T., 1937-",MC002,0.2 linear feet,1955-1983,,High school yearbook and exhibition catalogs representing some of artist and UC Davis faculty member William T. Wiley&#39;s many exhibitions.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,11159.0,2017-03-22T19:56:33,2017-03-22T12:56:33,2017-03-22T19:56:33,wiley-william-t-1937-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/wiley-william-t-1937-collection/,0.0,,[2625],https://www.library.ucdavis.edu/manuscript/wiley-william-t-1937-collection/,"Wiley, William T. (1937- ). Collection.","Wiley has held teaching and visiting artist positions in the University of California system and exhibitions throughout the U.S. and Europe; instructor, University of California, Davis (1962-1973).",High school yearbook and exhibition catalogs representing some of Wiley's many exhibitions.,MC002,1955-1983.,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11159'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11159'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11159'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
630,ark:/13030/c8rj4qsc/,English,"University of California, Davis General Library, Dept. of Special Collections",Yuba County Board of Supervisors Collection,Yuba County (Calif.). Board of Supervisors,D-410,1 linear foot,1856-1955,,"The collection includes correspondence, petitions, minutes, promissory notes, treasurer&#39;s reports, and resolutions related to the history and activities of the Yuba County Board of Supervisors.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,11188.0,2017-03-22T19:56:34,2017-03-22T12:56:34,2017-03-22T19:56:34,yuba-county-board-of-supervisors-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/yuba-county-board-of-supervisors-collection/,0.0,,[2630],https://www.library.ucdavis.edu/manuscript/yuba-county-board-of-supervisors-collection/,Yuba County Board of Supervisors Collection,,"Correspondence, petitions, minutes, promissory notes, treasurerâ€™s reports, and resolutions.",D-410,1856-1955.,1,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11188'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11188'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11188'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
631,ark:/13030/c8rn39wd/,English,,Armenian Women’s Archives Collection,,D-576,,,,"These materials were collected under the auspices of the Armenian Women’s Archives. The collection contains church flyers and newsletters, a three page handwritten holograph biography of Agnes Halajian, one audiocassette labeled &#34;Nina Agabian,&#34; and one audiocassette by Marie-Rose Abousefian.",,circa 1987-1991,Armenian Women’s Archives,0.8 linear feet,,,,,,,,,,,,,,,10392.0,2017-03-22T19:56:06,2017-03-22T12:56:06,2017-03-22T19:56:06,armenian-womens-archives-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/armenian-womens-archives-collection/,0.0,,[2627],https://www.library.ucdavis.edu/manuscript/armenian-womens-archives-collection/,Armenian Women&#8217;s Archives Collection,,"These materials were collected under the auspices of the Armenian Women's Archives. The collection contains church flyers and newsletters, a three page handwritten holograph biography of Agnes Halajian, one audiocassette labeled ""Nina Agabian,"" and one audiocassette by Marie-Rose Abousefian.",D-576,1987-1991,0.8,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10392'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10392'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10392'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
632,ark:/13030/c8rn3b22/,English,,Price Amerson Papers,,D-338,,,,"Correspondence, course materials, art publications, publications by Amerson.",,1964-1999,"Amerson, Price.",6 linear feet,,,,,,,,,,,,,,,10383.0,2017-03-22T19:56:06,2017-03-22T12:56:06,2017-03-22T19:56:06,amerson-price-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/amerson-price-papers/,0.0,,[2625],https://www.library.ucdavis.edu/manuscript/amerson-price-papers/,"Amerson, Price. Papers.","Creator and director of the Richard L. Nelson Gallery and The Fine Arts Collection at the University of California, Davis; art lecturer and an artist.","Correspondence, course materials, art publications, publications by Amerson.",D-338,19---19--.,6,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8rn3b22/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10383'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10383'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10383'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
634,ark:/13030/c8rr21j8/,English,,Roland Marchand Papers,,D-257,,,,"Research files, correspondence, publication files, ephemera, and memorabilia relating to Marchand&#39;s research in American corporate history.",,1964-1997,"Marchand, Roland.",74.2 linear feet,,,,,,,,,,,,,,,10800.0,2017-03-22T19:56:20,2017-03-22T12:56:20,2017-03-22T19:56:20,marchand-c-roland-1933-1998-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/marchand-c-roland-1933-1998-papers/,0.0,,[1623],https://www.library.ucdavis.edu/manuscript/marchand-c-roland-1933-1998-papers/,"Marchand, C. Roland. (1933-1998) Papers.","Professor of History, University of California, Davis (1964-1997); History Department, chair (1978-1988, 1989-1991); author of <cite>Advertising the American Dream</cite> (1985).","Research files, correspondence, publication files, ephemera, and memorabilia relating to Marchand's research in American corporate history.",D-257,1964-1997,64.8,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8rr21j8/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10800'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10800'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10800'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
637,ark:/13030/c8rv0v5j/,English,,"Digest, Alphabetically Arranged From H. Warner Allen&#39;s Book on Sherry",,MC279,,,,Handwritten digest of the contents of H. Warner Allen&#39;s book Sherry and Port.,,undated,Unknown.,1 volume,,,,,,,,,,,,,,,41418.0,2020-03-20T18:05:47,2020-03-20T11:05:47,2020-03-20T18:05:47,digest-alphabetically-arranged-from-h-warner-allens-book-on-sherry,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/digest-alphabetically-arranged-from-h-warner-allens-book-on-sherry/,0.0,,[2621],https://www.library.ucdavis.edu/?post_type=manuscript&#038;p=41418,"Digest, Alphabetically Arranged From H. Warner Allen&#8217;s Book on Sherry",,Handwritten digest of the contents of H. Warner Allen's book Sherry and Port.,MC279,,,,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/41418'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=41418'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=41418'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
638,ark:/13030/c8rv0vmc/,English,,Austin C. Chiles Papers,,MC133,,,,Typescript of The Coachella Valley: agriculture and flood and earthquake hazards (1953).,,1953,null,0.1 linear feet,,,,,,,,,,,,,,,10483.0,2017-03-22T19:56:09,2017-03-22T12:56:09,2017-03-22T19:56:09,chiles-austin-c-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/chiles-austin-c-papers/,0.0,,[1439],https://www.library.ucdavis.edu/manuscript/chiles-austin-c-papers/,"Chiles, Austin C. Papers.",,Typescript of The Coachella Valley: agriculture and flood and earthquake hazards (1953).,MC133,1953,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10483'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10483'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10483'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
639,ark:/13030/c8rx9crg/,Collection materials in English.,,Searls Family Papers,Searls Family,MC253,8 folders,1873-1923,,"Niles Searls (1825-1907) served as State Senator and Chief Justice of the California Supreme Court. This small collection contains several letters to Niles Searls and his son Fred Searls, as well as materials related to Fred Searls&#39; involvement with the Zeibright Mine in Nevada City, California.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,11007.0,2017-03-22T19:56:27,2017-03-22T12:56:27,2017-03-22T19:56:27,searls-family-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/searls-family-papers/,0.0,,[2630],https://www.library.ucdavis.edu/manuscript/searls-family-papers/,Searls Family Papers,Niles Searls (1825-1907) served as State Senator and Chief Justice of the California Supreme Court.,"Several letters to Niles Searls and his son Fred Searls, as well as materials related to Fred Searls' involvement with the Zeibright Mine in Nevada City, California.",MC253,1873-1923.,,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8rx9crg/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11007'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11007'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11007'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
641,ark:/13030/c8s181t6/,English,"University of California, Davis Library, Dept. of Special Collections",Sandra McPherson Papers,"McPherson, Sandra",D-551,4 letters,1962-2019,,"Sandra McPherson served as Professor of English at the University of California, Davis where she taught creative writing and poetry-as-literature courses. The Sandra McPherson Papers contain her literary publications, the majority of which are her published poems.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10824.0,2017-03-22T19:56:21,2017-03-22T12:56:21,2017-03-22T19:56:21,mcpherson-sandra-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/mcpherson-sandra-papers/,0.0,,[2626],https://www.library.ucdavis.edu/manuscript/mcpherson-sandra-papers/,"McPherson, Sandra. Papers","Professor of English, University of California, Davis.","The Sandra McPherson Papers contain her literary publications, themajority of which are her published poems. ",D-551,1962-2009.,10.4,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8s181t6/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10824'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10824'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10824'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
643,ark:/13030/c8s18488/,English,,Counterculture Poster Collection,,D-031,,,,"Psychedelic posters and cards announcing rock concerts and other &#34;happenings&#34; of interest to the American counter culture of the 1960&#39;s, mostly in the San Francisco area.",,1965-1975,null,2.5 linear feet,,,,,,,,,,,,,,,10520.0,2017-03-22T19:56:10,2017-03-22T12:56:10,2017-03-22T19:56:10,counter-culture-poster-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/counter-culture-poster-collection/,0.0,,[2625],https://www.library.ucdavis.edu/manuscript/counter-culture-poster-collection/,Counter Culture Poster Collection.,,"Psychedelic posters and cards announcing rock concerts and other ""happenings"" of interest to the American counter culture of the 1960's, mostly in the San Francisco area.",D-031,1965-1975.,2.1,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8s18488/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10520'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10520'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10520'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
